file_name,min,max,mean
2019-11-15_15-26-11-6490.bmp,12,45,24.9731596002782
2019-11-14_15-38-41-4780.bmp,14,54,29.0887667328345
2019-11-14_10-34-31-7960.bmp,21,85,46.503028452181
68+2019-11-13_11-02-52-4140.bmp,15,46,28.2093449381585
2019-11-15_10-37-34-0630.bmp,12,65,27.5606453911539
2019-11-15_10-29-05-5080.bmp,18,83,43.7475271882052
68+2019-11-13_11-22-20-7220.bmp,15,92,43.637671569875
2019-11-15_09-52-49-9810.bmp,12,46,24.4801411581073
2019-11-15_10-53-25-9200.bmp,18,103,53.3903225259158
2019-11-15_10-40-05-0970.bmp,15,92,42.6502773960401
2019-11-14_15-43-04-6750.bmp,12,51,28.0888685295465
68+2019-11-13_11-13-12-8890.bmp,13,71,35.7872957703466
2019-11-14_15-38-22-6860.bmp,15,82,29.9095875536553
2019-11-14_15-51-38-7180.bmp,18,93,44.5996674640742
2019-11-15_09-52-33-0720.bmp,13,49,27.0589402962284
2019-11-14_15-41-10-4300.bmp,16,77,40.5286981897151
2019-11-15_10-53-21-2230.bmp,20,106,52.2791605164487
2019-11-15_10-29-38-5110.bmp,14,92,39.8470165080335
68+2019-11-13_11-21-50-1510.bmp,18,88,45.644729475238
2019-11-15_10-31-53-4460.bmp,17,96,43.8488149166115
68+2019-11-13_11-22-16-1230.bmp,13,78,41.1392918342071
68+2019-11-13_11-03-13-2060.bmp,18,69,38.7544832968562
2019-11-15_10-47-21-1430.bmp,13,66,26.9044128874637
2019-11-14_15-40-56-6310.bmp,18,88,45.1412938362091
2019-11-14_10-37-21-4790.bmp,16,59,31.5180773994333
2019-11-15_10-19-41-0820.bmp,12,42,22.8970835242022
2019-11-15_15-18-51-4460.bmp,18,82,43.4713357425222
2019-11-14_15-51-06-3440.bmp,20,87,46.7270999813373
68+2019-11-13_11-13-05-9900.bmp,12,60,31.4071868478648
2019-11-15_09-46-01-4350.bmp,10,65,23.2598191411751
68+2019-11-13_11-02-54-7150.bmp,15,48,29.4973617685482
2019-11-14_10-21-56-0540.bmp,22,84,46.8217878895845
68+2019-11-13_11-12-58-7490.bmp,11,56,28.9422642981965
2019-11-14_15-40-51-9880.bmp,19,89,46.4180790960452
2019-11-14_15-38-39-1240.bmp,14,58,30.3475000424153
68+2019-11-13_11-12-54-0900.bmp,12,47,25.5135135135135
2019-11-15_10-40-23-8870.bmp,15,95,40.3857416738773
68+2019-11-13_11-02-50-1070.bmp,15,72,27.5866883832986
2019-11-15_14-57-29-7430.bmp,16,77,32.3979063809572
2019-11-14_15-38-46-1800.bmp,15,54,28.1188815934579
2019-11-14_15-41-05-8200.bmp,16,78,41.8502061383417
2019-11-14_15-43-16-1760.bmp,11,133,26.1909536655299
2019-11-15_10-37-57-5440.bmp,14,64,33.6712305525865
2019-11-14_15-51-10-9500.bmp,21,102,49.8456422524219
68+2019-11-13_11-03-20-1090.bmp,17,60,35.5828201082438
2019-11-15_09-46-03-9350.bmp,10,72,22.7723146875689
2019-11-15_10-05-31-1650.bmp,17,77,43.2122800766869
2019-11-15_10-40-21-5370.bmp,15,89,39.822262940907
68+2019-11-13_11-28-10-0140.bmp,14,99,42.9533262075635
2019-11-15_15-18-28-0870.bmp,20,89,46.5260854074413
2019-11-14_15-40-45-0870.bmp,20,96,47.744133964473
2019-11-14_10-25-16-9420.bmp,26,118,56.7017526000577
2019-11-14_15-38-50-8730.bmp,13,54,27.5399127941501
2019-11-14_10-05-19-4330.bmp,21,104,52.1717649853243
2019-11-15_10-20-19-0690.bmp,11,88,25.3045078977282
2019-11-14_15-51-15-5970.bmp,20,90,47.0594492797883
2019-11-15_10-53-06-4290.bmp,20,80,45.1000492017441
2019-11-14_10-22-05-4730.bmp,21,79,44.0009840348823
2019-11-15_09-52-35-8870.bmp,12,68,26.8318657640692
2019-11-15_14-57-36-8210.bmp,15,51,30.1320303354202
68+2019-11-13_11-27-53-5820.bmp,15,99,43.624353166726
2019-11-15_15-03-55-2890.bmp,19,104,51.9818462530327
2019-11-15_09-46-20-3910.bmp,9,38,19.523048472201
68+2019-11-13_11-13-01-0480.bmp,12,56,29.7248774197927
2019-11-15_10-37-28-7380.bmp,13,71,26.4381669805399
68+2019-11-13_11-27-58-2820.bmp,15,80,41.8488658149675
2019-11-15_14-58-08-1200.bmp,12,46,26.3226616446955
2019-11-14_10-05-38-2440.bmp,21,98,50.4742708810506
2019-11-15_10-53-18-3250.bmp,20,111,52.4150760930422
2019-11-14_10-21-48-9980.bmp,24,95,49.7402487232996
2019-11-14_10-24-52-7640.bmp,27,90,52.9761286710439
68+2019-11-13_11-03-06-2580.bmp,17,68,36.0875451722909
2019-11-15_14-50-50-6030.bmp,14,85,39.7032116862625
2019-11-15_15-21-04-6820.bmp,14,48,27.3754771720873
68+2019-11-13_11-21-54-8500.bmp,16,87,44.6829880728186
2019-11-15_10-37-55-1960.bmp,14,67,35.0724113944453
2019-11-15_15-03-43-5180.bmp,20,92,46.0925162450586
2019-11-15_10-53-37-6770.bmp,19,113,51.4581870005599
2019-11-15_15-04-11-7270.bmp,20,104,52.8448109126075
68+2019-11-13_11-03-22-4100.bmp,15,62,33.7130520350859
2019-11-14_15-40-47-3760.bmp,19,89,46.9457593186407
2019-11-15_15-18-39-8140.bmp,18,88,46.2396124938498
2019-11-15_10-40-16-8390.bmp,15,74,38.5023158751972
68+2019-11-13_11-13-19-7890.bmp,13,71,37.1210702227651
68+2019-11-13_11-13-22-0880.bmp,13,73,35.6742165894708
68+2019-11-13_11-03-24-7100.bmp,14,77,32.9875977672588
2019-11-15_15-26-27-9360.bmp,11,48,24.0844743048133
68+2019-11-13_11-03-17-8080.bmp,18,62,37.3664172647223
2019-11-15_10-17-45-6680.bmp,16,86,43.3189121324715
2019-11-14_10-05-42-9500.bmp,19,103,50.1134354693677
